,dtime,br,ba,sqft,subregion,pnr,price
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
0,2016-09-28 15:37,2,,1000,district of columbia,(Brookland/ Fort Totten/ CUA),$1525
1,2016-09-28 15:37,2,,,district of columbia,"(South East, Washington DC)",$1031
2,2016-09-28 15:36,2,,1200,district of columbia,(Southwest Waterfront),$2799
3,2016-09-28 15:35,2,,,district of columbia,,$2000
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
13,2016-09-28 15:33,1,,,district of columbia,,$2240
0,2016-09-28 15:37,2,,1000,district of columbia,(Brookland/ Fort Totten/ CUA),$1525
1,2016-09-28 15:37,2,,,district of columbia,"(South East, Washington DC)",$1031
2,2016-09-28 15:36,2,,1200,district of columbia,(Southwest Waterfront),$2799
3,2016-09-28 15:35,2,,,district of columbia,,$2000
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
13,2016-09-28 15:33,1,,,district of columbia,,$2240
14,2016-09-28 15:33,1,,,district of columbia,"(North East, Washington DC)",$911
0,2016-09-28 15:37,2,,1000,district of columbia,(Brookland/ Fort Totten/ CUA),$1525
1,2016-09-28 15:37,2,,,district of columbia,"(South East, Washington DC)",$1031
2,2016-09-28 15:36,2,,1200,district of columbia,(Southwest Waterfront),$2799
3,2016-09-28 15:35,2,,,district of columbia,,$2000
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
13,2016-09-28 15:33,1,,,district of columbia,,$2240
14,2016-09-28 15:33,1,,,district of columbia,"(North East, Washington DC)",$911
15,2016-09-28 15:31,1,,850,district of columbia,(Dupont /U Street),$2500
0,2016-09-28 15:37,2,,1000,district of columbia,(Brookland/ Fort Totten/ CUA),$1525
1,2016-09-28 15:37,2,,,district of columbia,"(South East, Washington DC)",$1031
2,2016-09-28 15:36,2,,1200,district of columbia,(Southwest Waterfront),$2799
3,2016-09-28 15:35,2,,,district of columbia,,$2000
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
13,2016-09-28 15:33,1,,,district of columbia,,$2240
14,2016-09-28 15:33,1,,,district of columbia,"(North East, Washington DC)",$911
15,2016-09-28 15:31,1,,850,district of columbia,(Dupont /U Street),$2500
16,2016-09-28 15:31,2,,982,district of columbia,(Wisconsin ave (American &amp; Georgetown University),$2292
0,2016-09-28 15:37,2,,1000,district of columbia,(Brookland/ Fort Totten/ CUA),$1525
1,2016-09-28 15:37,2,,,district of columbia,"(South East, Washington DC)",$1031
2,2016-09-28 15:36,2,,1200,district of columbia,(Southwest Waterfront),$2799
3,2016-09-28 15:35,2,,,district of columbia,,$2000
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
13,2016-09-28 15:33,1,,,district of columbia,,$2240
14,2016-09-28 15:33,1,,,district of columbia,"(North East, Washington DC)",$911
15,2016-09-28 15:31,1,,850,district of columbia,(Dupont /U Street),$2500
16,2016-09-28 15:31,2,,982,district of columbia,(Wisconsin ave (American &amp; Georgetown University),$2292
17,2016-09-28 15:31,1,,635,district of columbia,(Downtown),$3000
0,2016-09-28 15:37,2,,1000,district of columbia,(Brookland/ Fort Totten/ CUA),$1525
1,2016-09-28 15:37,2,,,district of columbia,"(South East, Washington DC)",$1031
2,2016-09-28 15:36,2,,1200,district of columbia,(Southwest Waterfront),$2799
3,2016-09-28 15:35,2,,,district of columbia,,$2000
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
13,2016-09-28 15:33,1,,,district of columbia,,$2240
14,2016-09-28 15:33,1,,,district of columbia,"(North East, Washington DC)",$911
15,2016-09-28 15:31,1,,850,district of columbia,(Dupont /U Street),$2500
16,2016-09-28 15:31,2,,982,district of columbia,(Wisconsin ave (American &amp; Georgetown University),$2292
17,2016-09-28 15:31,1,,635,district of columbia,(Downtown),$3000
18,2016-09-28 15:30,1,,,district of columbia,"(Alexandria, VA)",$1200
0,2016-09-28 15:37,2,,1000,district of columbia,(Brookland/ Fort Totten/ CUA),$1525
1,2016-09-28 15:37,2,,,district of columbia,"(South East, Washington DC)",$1031
2,2016-09-28 15:36,2,,1200,district of columbia,(Southwest Waterfront),$2799
3,2016-09-28 15:35,2,,,district of columbia,,$2000
4,2016-09-28 15:35,2,,,district of columbia,(3701 Massachusetts Ave),$2599
5,2016-09-28 15:35,2,,,district of columbia,"(South East, Washington DC)",$1046
6,2016-09-28 15:35,2,,1182,district of columbia,"(Washington, DC)",$3627
7,2016-09-28 15:34,1,,800,district of columbia,(Southwest Waterfront),$1899
8,2016-09-28 15:34,1,,,district of columbia,,$2000
9,2016-09-28 15:34,1,,,district of columbia,,$2000
10,2016-09-28 15:34,1,,,district of columbia,"(North East, Washington DC)",$958
11,2016-09-28 15:34,1,,828,district of columbia,"(Washington, DC)",$2308
12,2016-09-28 15:34,1,1,,district of columbia,(Gallery Place),$2450
13,2016-09-28 15:33,1,,,district of columbia,,$2240
14,2016-09-28 15:33,1,,,district of columbia,"(North East, Washington DC)",$911
